Time(s), N2(mol/L), H2(mol/L), NH3(mol/L)
0.0, 40.0, 100.0, 0.0
0.1, 39.92, 99.76, 0.16
0.2, 39.84, 99.52, 0.32
0.3, 39.76, 99.28, 0.48
0.4, 39.68, 99.05, 0.63
0.5, 39.60, 98.81, 0.79
0.6, 39.53, 98.58, 0.95
0.7, 39.45, 98.35, 1.10
0.8, 39.37, 98.12, 1.26
0.9, 39.30, 97.89, 1.41
1.0, 39.22, 97.66, 1.56
1.1, 39.14, 97.43, 1.71
1.2, 39.07, 97.20, 1.86
1.3, 38.99, 96.98, 2.01
1.4, 38.92, 96.75, 2.16
1.5, 38.84, 96.53, 2.31
1.6, 38.77, 96.31, 2.46
1.7, 38.70, 96.09, 2.61
1.8, 38.62, 95.87, 2.75
1.9, 38.55, 95.65, 2.90
2.0, 38.48, 95.44, 3.04
2.1, 38.41, 95.22, 3.19
2.2, 38.34, 95.01, 3.33
2.3, 38.26, 94.79, 3.47
2.4, 38.19, 94.58, 3.61
2.5, 38.12, 94.37, 3.75
2.6, 38.05, 94.16, 3.89
2.7, 37.98, 93.95, 4.03
2.8, 37.91, 93.74, 4.17
2.9, 37.84, 93.53, 4.31
3.0, 37.78, 93.33, 4.45
3.1, 37.71, 93.12, 4.58
3.2, 37.64, 92.92, 4.72
3.3, 37.57, 92.72, 4.86
3.4, 37.50, 92.51, 4.99
3.5, 37.44, 92.31, 5.12
3.6, 37.37, 92.11, 5.26
3.7, 37.31, 91.92, 5.39
3.8, 37.24, 91.72, 5.52
3.9, 37.17, 91.52, 5.65
4.0, 37.11, 91.33, 5.78
4.1, 37.04, 91.13, 5.91
4.2, 36.98, 90.94, 6.04
4.3, 36.91, 90.74, 6.17
4.4, 36.85, 90.55, 6.30
4.5, 36.79, 90.36, 6.43
4.6, 36.72, 90.17, 6.55
4.7, 36.66, 89.98, 6.68
4.8, 36.60, 89.80, 6.80
4.9, 36.54, 89.61, 6.93
5.0, 36.47, 89.42, 7.05
5.1, 36.41, 89.24, 7.18
5.2, 36.35, 89.05, 7.30
5.3, 36.29, 88.87, 7.42
5.4, 36.23, 88.69, 7.54
5.5, 36.17, 88.51, 7.66
5.6, 36.11, 88.33, 7.78
5.7, 36.05, 88.15, 7.90
5.8, 35.99, 87.97, 8.02
5.9, 35.93, 87.79, 8.14
6.0, 35.87, 87.61, 8.26
6.1, 35.81, 87.44, 8.38
6.2, 35.75, 87.26, 8.49
6.3, 35.70, 87.09, 8.61
6.4, 35.64, 86.91, 8.72
6.5, 35.58, 86.74, 8.84
6.6, 35.52, 86.57, 8.95
6.7, 35.47, 86.40, 9.07
6.8, 35.41, 86.23, 9.18
6.9, 35.35, 86.06, 9.30
7.0, 35.30, 85.89, 9.41
7.1, 35.24, 85.72, 9.52
7.2, 35.18, 85.55, 9.63
7.3, 35.13, 85.39, 9.74
7.4, 35.07, 85.22, 9.85
7.5, 35.02, 85.06, 9.96
7.6, 34.96, 84.89, 10.07
7.7, 34.91, 84.73, 10.18
7.8, 34.86, 84.57, 10.29
7.9, 34.80, 84.41, 10.40
8.0, 34.75, 84.25, 10.50
8.1, 34.70, 84.09, 10.61
8.2, 34.64, 83.93, 10.71
8.3, 34.59, 83.77, 10.82
8.4, 34.54, 83.61, 10.93
8.5, 34.48, 83.45, 11.03
8.6, 34.43, 83.30, 11.13
8.7, 34.38, 83.14, 11.24
8.8, 34.33, 82.99, 11.34
8.9, 34.28, 82.83, 11.44
9.0, 34.23, 82.68, 11.55
9.1, 34.18, 82.53, 11.65
9.2, 34.13, 82.38, 11.75
9.3, 34.08, 82.23, 11.85
9.4, 34.03, 82.08, 11.95
9.5, 33.98, 81.93, 12.05
9.6, 33.93, 81.78, 12.15
9.7, 33.88, 81.63, 12.25
9.8, 33.83, 81.48, 12.35
9.9, 33.78, 81.33, 12.44
10.0, 33.73, 81.19, 12.54
10.1, 33.68, 81.04, 12.64
10.2, 33.63, 80.90, 12.73
10.3, 33.58, 80.75, 12.83
10.4, 33.54, 80.61, 12.93
10.5, 33.49, 80.47, 13.02
10.6, 33.44, 80.33, 13.12
10.7, 33.39, 80.18, 13.21
10.8, 33.35, 80.04, 13.30
10.9, 33.30, 79.90, 13.40
11.0, 33.25, 79.76, 13.49
11.1, 33.21, 79.62, 13.58
11.2, 33.16, 79.49, 13.68
11.3, 33.12, 79.35, 13.77
11.4, 33.07, 79.21, 13.86
11.5, 33.03, 79.08, 13.95
11.6, 32.98, 78.94, 14.04
11.7, 32.93, 78.80, 14.13
11.8, 32.89, 78.67, 14.22
11.9, 32.85, 78.54, 14.31
12.0, 32.80, 78.40, 14.40
12.1, 32.76, 78.27, 14.49
12.2, 32.71, 78.14, 14.57
12.3, 32.67, 78.01, 14.66
12.4, 32.63, 77.88, 14.75
12.5, 32.58, 77.74, 14.84
12.6, 32.54, 77.62, 14.92
12.7, 32.50, 77.49, 15.01
12.8, 32.45, 77.36, 15.09
12.9, 32.41, 77.23, 15.18
13.0, 32.37, 77.10, 15.27
13.1, 32.33, 76.98, 15.35
13.2, 32.28, 76.85, 15.43
13.3, 32.24, 76.72, 15.52
13.4, 32.20, 76.60, 15.60
13.5, 32.16, 76.47, 15.68
13.6, 32.12, 76.35, 15.77
13.7, 32.08, 76.23, 15.85
13.8, 32.03, 76.10, 15.93
13.9, 31.99, 75.98, 16.01
14.0, 31.95, 75.86, 16.09
14.1, 31.91, 75.74, 16.17
14.2, 31.87, 75.62, 16.26
14.3, 31.83, 75.50, 16.34
14.4, 31.79, 75.38, 16.42
14.5, 31.75, 75.26, 16.49
14.6, 31.71, 75.14, 16.57
14.7, 31.67, 75.02, 16.65
14.8, 31.63, 74.90, 16.73
14.9, 31.60, 74.79, 16.81
15.0, 31.56, 74.67, 16.89
